
matrixupdate 1.398337 matrix 1.384250, up: 2.724456, left 6.111762, right 0.255445, downright 1.671322, down 0.586432, downleft 0.242994

matrixupdate 1.412424 matrix 1.398337, up: 2.745502, left 6.137996, right 0.259699, downright 1.688702, down 0.595257, downleft 0.247251

matrixupdate 1.426509 matrix 1.412424, up: 2.766481, left 6.164064, right 0.263981, downright 1.706079, down 0.604123, downleft 0.251542

matrixupdate 1.440593 matrix 1.426509, up: 2.787393, left 6.189969, right 0.268290, downright 1.723453, down 0.613029, downleft 0.255866

matrixupdate 1.454676 matrix 1.440593, up: 2.808238, left 6.215710, right 0.272627, downright 1.740823, down 0.621975, downleft 0.260222

matrixupdate 1.468755 matrix 1.454676, up: 2.829017, left 6.241290, right 0.276991, downright 1.758188, down 0.630959, downleft 0.264611

matrixupdate 1.482832 matrix 1.468755, up: 2.849729, left 6.266711, right 0.281381, downright 1.775546, down 0.639983, downleft 0.269031

matrixupdate 1.496905 matrix 1.482832, up: 2.870373, left 6.291973, right 0.285798, downright 1.792899, down 0.649044, downleft 0.273484

matrixupdate 1.510974 matrix 1.496905, up: 2.890950, left 6.317079, right 0.290242, downright 1.810244, down 0.658142, downleft 0.277968

matrixupdate 1.525039 matrix 1.510974, up: 2.911461, left 6.342030, right 0.294711, downright 1.827580, down 0.667277, downleft 0.282484

matrixupdate 1.539098 matrix 1.525039, up: 2.931904, left 6.366827, right 0.299206, downright 1.844909, down 0.676449, downleft 0.287031

matrixupdate 1.553153 matrix 1.539098, up: 2.952280, left 6.391472, right 0.303727, downright 1.862227, down 0.685655, downleft 0.291610

matrixupdate 1.567201 matrix 1.553153, up: 2.972589, left 6.415965, right 0.308273, downright 1.879536, down 0.694897, downleft 0.296219

matrixupdate 1.581243 matrix 1.567201, up: 2.992831, left 6.440310, right 0.312844, downright 1.896834, down 0.704172, downleft 0.300858

matrixupdate 1.595278 matrix 1.581243, up: 3.013006, left 6.464506, right 0.317440, downright 1.914120, down 0.713482, downleft 0.305529

matrixupdate 1.609306 matrix 1.595278, up: 3.033113, left 6.488555, right 0.322060, downright 1.931395, down 0.722824, downleft 0.310229

matrixupdate 1.623326 matrix 1.609306, up: 3.053154, left 6.512459, right 0.326704, downright 1.948656, down 0.732199, downleft 0.314959

matrixupdate 1.637338 matrix 1.623326, up: 3.073128, left 6.536220, right 0.331373, downright 1.965905, down 0.741607, downleft 0.319719

matrixupdate 1.651342 matrix 1.637338, up: 3.093035, left 6.559837, right 0.336065, downright 1.983140, down 0.751045, downleft 0.324508

matrixupdate 1.665337 matrix 1.651342, up: 3.112875, left 6.583313, right 0.340781, downright 2.000360, down 0.760515, downleft 0.329327

matrixupdate 1.679323 matrix 1.665337, up: 3.132648, left 6.606649, right 0.345520, downright 2.017565, down 0.770014, downleft 0.334174

matrixupdate 1.693299 matrix 1.679323, up: 3.152355, left 6.629846, right 0.350282, downright 2.034755, down 0.779544, downleft 0.339051

matrixupdate 1.707266 matrix 1.693299, up: 3.171995, left 6.652906, right 0.355067, downright 2.051929, down 0.789103, downleft 0.343956

matrixupdate 1.721222 matrix 1.707266, up: 3.191569, left 6.675829, right 0.359875, downright 2.069086, down 0.798691, downleft 0.348889

matrixupdate 1.735167 matrix 1.721222, up: 3.211076, left 6.698617, right 0.364704, downright 2.086227, down 0.808306, downleft 0.353851

matrixupdate 1.749101 matrix 1.735167, up: 3.230517, left 6.721272, right 0.369556, downright 2.103349, down 0.817950, downleft 0.358840

matrixupdate 1.763024 matrix 1.749101, up: 3.249892, left 6.743793, right 0.374430, downright 2.120454, down 0.827620, downleft 0.363858

matrixupdate 1.776936 matrix 1.763024, up: 3.269201, left 6.766184, right 0.379326, downright 2.137540, down 0.837318, downleft 0.368902

matrixupdate 1.790835 matrix 1.776936, up: 3.288444, left 6.788444, right 0.384242, downright 2.154607, down 0.847041, downleft 0.373974

matrixupdate 1.804723 matrix 1.790835, up: 3.307622, left 6.810575, right 0.389180, downright 2.171654, down 0.856790, downleft 0.379073

matrixupdate 1.818597 matrix 1.804723, up: 3.326734, left 6.832578, right 0.394139, downright 2.188682, down 0.866564, downleft 0.384199

matrixupdate 1.832459 matrix 1.818597, up: 3.345780, left 6.854454, right 0.399119, downright 2.205689, down 0.876363, downleft 0.389351

matrixupdate 1.846308 matrix 1.832459, up: 3.364761, left 6.876204, right 0.404119, downright 2.222675, down 0.886186, downleft 0.394529

matrixupdate 1.860143 matrix 1.846308, up: 3.383677, left 6.897830, right 0.409139, downright 2.239641, down 0.896033, downleft 0.399734

matrixupdate 1.873965 matrix 1.860143, up: 3.402528, left 6.919333, right 0.414179, downright 2.256585, down 0.905902, downleft 0.404964

matrixupdate 1.887772 matrix 1.873965, up: 3.421314, left 6.940713, right 0.419239, downright 2.273506, down 0.915795, downleft 0.410221

matrixupdate 1.901565 matrix 1.887772, up: 3.440035, left 6.961972, right 0.424319, downright 2.290406, down 0.925710, downleft 0.415502

matrixupdate 1.915344 matrix 1.901565, up: 3.458692, left 6.983111, right 0.429418, downright 2.307283, down 0.935646, downleft 0.420809

